District Code,State,District #,Incumbent Representative,Democratic Candidate / Nominee,Republican Candidate / Nominee,Consensus Race Rating,Latest Poll / Rating Margin,Key Battleground,Source Link,Race Notes,
AR-02,AR,2,Republican Incumbent (AR),Democratic Candidate (AR-02),Republican Candidate (AR-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AR-03,AR,3,Republican Incumbent (AR),Democratic Candidate (AR-03),Republican Candidate (AR-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AR-04,AR,4,Democratic Incumbent (AR),Democratic Candidate (AR-04),Republican Candidate (AR-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-01,CA,1,Democratic Incumbent (CA),Democratic Candidate (CA-01),Republican Candidate (CA-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-02,CA,2,Democratic Incumbent (CA),Democratic Candidate (CA-02),Republican Candidate (CA-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-03,CA,3,Democratic Incumbent (CA),Democratic Candidate (CA-03),Republican Candidate (CA-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-04,CA,4,Democratic Incumbent (CA),Democratic Candidate (CA-04),Republican Candidate (CA-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-05,CA,5,Republican Incumbent (CA),Democratic Candidate (CA-05),Republican Candidate (CA-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-06,CA,6,Democratic Incumbent (CA),Democratic Candidate (CA-06),Republican Candidate (CA-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-07,CA,7,Democratic Incumbent (CA),Democratic Candidate (CA-07),Republican Candidate (CA-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-08,CA,8,Democratic Incumbent (CA),Democratic Candidate (CA-08),Republican Candidate (CA-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-09,CA,9,Democratic Incumbent (CA),Democratic Candidate (CA-09),Republican Candidate (CA-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-10,CA,10,Republican Incumbent (CA),Democratic Candidate (CA-10),Republican Candidate (CA-10),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-11,CA,11,Democratic Incumbent (CA),Democratic Candidate (CA-11),Republican Candidate (CA-11),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-12,CA,12,Democratic Incumbent (CA),Democratic Candidate (CA-12),Republican Candidate (CA-12),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-13,CA,13,John Duarte (R),Adam Gray,John Duarte,Tossup,D +2.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,Central Valley rematch of 2024 tight race.,
CA-14,CA,14,Democratic Incumbent (CA),Democratic Candidate (CA-14),Republican Candidate (CA-14),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-15,CA,15,Republican Incumbent (CA),Democratic Candidate (CA-15),Republican Candidate (CA-15),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-16,CA,16,Democratic Incumbent (CA),Democratic Candidate (CA-16),Republican Candidate (CA-16),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-17,CA,17,Democratic Incumbent (CA),Democratic Candidate (CA-17),Republican Candidate (CA-17),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-18,CA,18,Democratic Incumbent (CA),Democratic Candidate (CA-18),Republican Candidate (CA-18),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-19,CA,19,Democratic Incumbent (CA),Democratic Candidate (CA-19),Republican Candidate (CA-19),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-20,CA,20,Republican Incumbent (CA),Democratic Candidate (CA-20),Republican Candidate (CA-20),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-21,CA,21,Democratic Incumbent (CA),Democratic Candidate (CA-21),Republican Candidate (CA-21),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-22,CA,22,David Valadao (R),Rudy Salas,David Valadao,Tossup,D +1.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Dem-leaning district represented by GOP incumbent.,
CA-23,CA,23,Democratic Incumbent (CA),Democratic Candidate (CA-23),Republican Candidate (CA-23),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-24,CA,24,Democratic Incumbent (CA),Democratic Candidate (CA-24),Republican Candidate (CA-24),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-25,CA,25,Republican Incumbent (CA),Democratic Candidate (CA-25),Republican Candidate (CA-25),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-26,CA,26,Democratic Incumbent (CA),Democratic Candidate (CA-26),Republican Candidate (CA-26),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-27,CA,27,Mike Garcia (R),George Whitesides,Mike Garcia,Lean Democratic,D +3.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Northern LA County swing district.
CA-28,CA,28,Democratic Incumbent (CA),Democratic Candidate (CA-28),Republican Candidate (CA-28),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-29,CA,29,Democratic Incumbent (CA),Democratic Candidate (CA-29),Republican Candidate (CA-29),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-30,CA,30,Republican Incumbent (CA),Democratic Candidate (CA-30),Republican Candidate (CA-30),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-31,CA,31,Democratic Incumbent (CA),Democratic Candidate (CA-31),Republican Candidate (CA-31),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-32,CA,32,Democratic Incumbent (CA),Democratic Candidate (CA-32),Republican Candidate (CA-32),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-33,CA,33,Democratic Incumbent (CA),Democratic Candidate (CA-33),Republican Candidate (CA-33),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-34,CA,34,Democratic Incumbent (CA),Democratic Candidate (CA-34),Republican Candidate (CA-34),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-35,CA,35,Republican Incumbent (CA),Democratic Candidate (CA-35),Republican Candidate (CA-35),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-36,CA,36,Democratic Incumbent (CA),Democratic Candidate (CA-36),Republican Candidate (CA-36),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-37,CA,37,Democratic Incumbent (CA),Democratic Candidate (CA-37),Republican Candidate (CA-37),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-38,CA,38,Democratic Incumbent (CA),Democratic Candidate (CA-38),Republican Candidate (CA-38),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-39,CA,39,Democratic Incumbent (CA),Democratic Candidate (CA-39),Republican Candidate (CA-39),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-40,CA,40,Young Kim (R),Joe Kerr,Young Kim,Lean Republican,R +3.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Orange County suburban district.,
CA-41,CA,41,Democratic Incumbent (CA),Democratic Candidate (CA-41),Republican Candidate (CA-41),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-42,CA,42,Democratic Incumbent (CA),Democratic Candidate (CA-42),Republican Candidate (CA-42),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-43,CA,43,Democratic Incumbent (CA),Democratic Candidate (CA-43),Republican Candidate (CA-43),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-44,CA,44,Democratic Incumbent (CA),Democratic Candidate (CA-44),Republican Candidate (CA-44),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-45,CA,45,Michelle Steel (R),Derek Tran,Michelle Steel,Tossup,D +1.5%,Yes,https://centerforpolitics.org/crystalball/2026-house/,Asian-majority OC battleground.,
CA-46,CA,46,Democratic Incumbent (CA),Democratic Candidate (CA-46),Republican Candidate (CA-46),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-47,CA,47,Dave Min (D),Dave Min,Scott Baugh,Lean Democratic,D +3.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Coastal Orange County district.
CA-48,CA,48,Democratic Incumbent (CA),Democratic Candidate (CA-48),Republican Candidate (CA-48),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-49,CA,49,Democratic Incumbent (CA),Democratic Candidate (CA-49),Republican Candidate (CA-49),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-50,CA,50,Republican Incumbent (CA),Democratic Candidate (CA-50),Republican Candidate (CA-50),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CA-51,CA,51,Democratic Incumbent (CA),Democratic Candidate (CA-51),Republican Candidate (CA-51),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CA-52,CA,52,Democratic Incumbent (CA),Democratic Candidate (CA-52),Republican Candidate (CA-52),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-01,CO,1,Democratic Incumbent (CO),Democratic Candidate (CO-01),Republican Candidate (CO-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-02,CO,2,Democratic Incumbent (CO),Democratic Candidate (CO-02),Republican Candidate (CO-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-03,CO,3,Democratic Incumbent (CO),Democratic Candidate (CO-03),Republican Candidate (CO-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-04,CO,4,Democratic Incumbent (CO),Democratic Candidate (CO-04),Republican Candidate (CO-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-05,CO,5,Republican Incumbent (CO),Democratic Candidate (CO-05),Republican Candidate (CO-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
CO-06,CO,6,Democratic Incumbent (CO),Democratic Candidate (CO-06),Republican Candidate (CO-06),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-07,CO,7,Democratic Incumbent (CO),Democratic Candidate (CO-07),Republican Candidate (CO-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CO-08,CO,8,Yadira Caraveo (D),Yadira Caraveo,Gabe Evans,Tossup,D +2.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Fast-growing Denver northern suburbs.,
CT-01,CT,1,Democratic Incumbent (CT),Democratic Candidate (CT-01),Republican Candidate (CT-01),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CT-02,CT,2,Democratic Incumbent (CT),Democratic Candidate (CT-02),Republican Candidate (CT-02),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CT-03,CT,3,Democratic Incumbent (CT),Democratic Candidate (CT-03),Republican Candidate (CT-03),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CT-04,CT,4,Democratic Incumbent (CT),Democratic Candidate (CT-04),Republican Candidate (CT-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
CT-05,CT,5,Jahana Hayes (D),Jahana Hayes,George Logan,Lean Democratic,D +4.0%,Yes,https://centerforpolitics.org/crystalball/2026-house/,Western Connecticut competitive seat.,
DE-AL,DE,At-Large,Democratic Incumbent (DE),Democratic Candidate (DE-AL),Republican Candidate (DE-AL),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-01,FL,1,Republican Incumbent (FL),Democratic Candidate (FL-01),Republican Candidate (FL-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-02,FL,2,Republican Incumbent (FL),Democratic Candidate (FL-02),Republican Candidate (FL-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-03,FL,3,Republican Incumbent (FL),Democratic Candidate (FL-03),Republican Candidate (FL-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-04,FL,4,Democratic Incumbent (FL),Democratic Candidate (FL-04),Republican Candidate (FL-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-05,FL,5,Republican Incumbent (FL),Democratic Candidate (FL-05),Republican Candidate (FL-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-06,FL,6,Republican Incumbent (FL),Democratic Candidate (FL-06),Republican Candidate (FL-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-07,FL,7,Republican Incumbent (FL),Democratic Candidate (FL-07),Republican Candidate (FL-07),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-08,FL,8,Democratic Incumbent (FL),Democratic Candidate (FL-08),Republican Candidate (FL-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-09,FL,9,Republican Incumbent (FL),Democratic Candidate (FL-09),Republican Candidate (FL-09),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-10,FL,10,Republican Incumbent (FL),Democratic Candidate (FL-10),Republican Candidate (FL-10),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-11,FL,11,Republican Incumbent (FL),Democratic Candidate (FL-11),Republican Candidate (FL-11),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-12,FL,12,Democratic Incumbent (FL),Democratic Candidate (FL-12),Republican Candidate (FL-12),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-13,FL,13,Anna Paulina Luna (R),Whitney Fox,Anna Paulina Luna,Lean Republican,R +2.5%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Pinellas County / Tampa Bay battleground.,
FL-14,FL,14,Republican Incumbent (FL),Democratic Candidate (FL-14),Republican Candidate (FL-14),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-15,FL,15,Republican Incumbent (FL),Democratic Candidate (FL-15),Republican Candidate (FL-15),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-16,FL,16,Democratic Incumbent (FL),Democratic Candidate (FL-16),Republican Candidate (FL-16),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-17,FL,17,Republican Incumbent (FL),Democratic Candidate (FL-17),Republican Candidate (FL-17),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-18,FL,18,Republican Incumbent (FL),Democratic Candidate (FL-18),Republican Candidate (FL-18),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-19,FL,19,Republican Incumbent (FL),Democratic Candidate (FL-19),Republican Candidate (FL-19),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-20,FL,20,Democratic Incumbent (FL),Democratic Candidate (FL-20),Republican Candidate (FL-20),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-21,FL,21,Republican Incumbent (FL),Democratic Candidate (FL-21),Republican Candidate (FL-21),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-22,FL,22,Republican Incumbent (FL),Democratic Candidate (FL-22),Republican Candidate (FL-22),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-23,FL,23,Republican Incumbent (FL),Democratic Candidate (FL-23),Republican Candidate (FL-23),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-24,FL,24,Democratic Incumbent (FL),Democratic Candidate (FL-24),Republican Candidate (FL-24),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
FL-25,FL,25,Republican Incumbent (FL),Democratic Candidate (FL-25),Republican Candidate (FL-25),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-26,FL,26,Republican Incumbent (FL),Democratic Candidate (FL-26),Republican Candidate (FL-26),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
FL-27,FL,27,Maria Elvira Salazar (R),Lucia Baez-Geller,Maria Elvira Salazar,Lean Republican,R +4.0%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Miami-Dade competitive district.
FL-28,FL,28,Democratic Incumbent (FL),Democratic Candidate (FL-28),Republican Candidate (FL-28),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
GA-01,GA,1,Republican Incumbent (GA),Democratic Candidate (GA-01),Republican Candidate (GA-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-02,GA,2,Republican Incumbent (GA),Democratic Candidate (GA-02),Republican Candidate (GA-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-03,GA,3,Republican Incumbent (GA),Democratic Candidate (GA-03),Republican Candidate (GA-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-04,GA,4,Democratic Incumbent (GA),Democratic Candidate (GA-04),Republican Candidate (GA-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
GA-05,GA,5,Republican Incumbent (GA),Democratic Candidate (GA-05),Republican Candidate (GA-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-06,GA,6,Republican Incumbent (GA),Democratic Candidate (GA-06),Republican Candidate (GA-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-07,GA,7,Republican Incumbent (GA),Democratic Candidate (GA-07),Republican Candidate (GA-07),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-08,GA,8,Democratic Incumbent (GA),Democratic Candidate (GA-08),Republican Candidate (GA-08),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
GA-09,GA,9,Republican Incumbent (GA),Democratic Candidate (GA-09),Republican Candidate (GA-09),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
GA-10,GA,10,Republican Incumbent (GA),Democratic Candidate (GA-10),Republican Candidate (GA-10),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
